| Name                     | Version          | License                                                                             | Author                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
|--------------------------|------------------|-------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| Brlapi                   | 0.8.3            | LGPL 2.1                                                                            | The BRLTTY Developers                                                                                                                                                                                                                                                                                                                                                                                                                                               |
| Brotli                   | 1.0.9            | MIT License                                                                         | The Brotli Authors                                                                                                                                                                                                                                                                                                                                                                                                                                                  |
| Cython                   | 3.0.10           | Apache Software License                                                             | Robert Bradshaw, Stefan Behnel, Dag Seljebotn, Greg Ewing, et al.                                                                                                                                                                                                                                                                                                                                                                                                   |
| Glances                  | 3.2.4.2          | GNU Lesser General Public License v3 (LGPLv3)                                       | Nicolas Hennion                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| Jinja2                   | 3.1.3            | BSD License                                                                         | UNKNOWN                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| Mako                     | 1.1.3            | MIT License                                                                         | Mike Bayer                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| Markdown                 | 3.6              | BSD License                                                                         | Manfred Stienstra, Yuri Takhteyev                                                                                                                                                                                                                                                                                                                                                                                                                                   |
| MarkupSafe               | 2.0.1            | BSD License                                                                         | Armin Ronacher                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
| MarkupSafe               | 2.1.5            | BSD License                                                                         | UNKNOWN                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| Pillow                   | 9.0.1            | Historical Permission Notice and Disclaimer (HPND)                                  | Alex Clark (PIL Fork Author)                                                                                                                                                                                                                                                                                                                                                                                                                                        |
| PyGObject                | 3.42.1           | GNU Lesser General Public License v2 or later (LGPLv2+)                             | James Henstridge                                                                                                                                                                                                                                                                                                                                                                                                                                                    |
| PyJWT                    | 2.3.0            | MIT License                                                                         | Jose Padilla                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
| PyNaCl                   | 1.5.0            | Apache License 2.0                                                                  | The PyNaCl developers                                                                                                                                                                                                                                                                                                                                                                                                                                               |
| PyQt5                    | 5.15.6           | GPL v3                                                                              | Riverbank Computing Limited                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| PyQt5-sip                | 12.9.1           | SIP                                                                                 | Riverbank Computing Limited                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| PyQtWebEngine            | 5.15.5           | GPL v3                                                                              | Riverbank Computing Limited                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| PySocks                  | 1.7.1            | BSD                                                                                 | Anorov                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| PyYAML                   | 5.4.1            | MIT License                                                                         | Kirill Simonov                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
| QtPy                     | 2.0.0            | MIT License                                                                         | Colin Duquesnoy and the Spyder Development Team                                                                                                                                                                                                                                                                                                                                                                                                                     |
| SecretStorage            | 3.3.1            | BSD License                                                                         | Dmitry Shachnev                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| Werkzeug                 | 3.0.3            | BSD License                                                                         | UNKNOWN                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| absl-py                  | 2.1.0            | Apache Software License                                                             | The Abseil Authors                                                                                                                                                                                                                                                                                                                                                                                                                                                  |
| aiohttp                  | 3.9.5            | Apache Software License                                                             | UNKNOWN                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| aiosignal                | 1.3.1            | Apache Software License                                                             | UNKNOWN                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| annotated-types          | 0.6.0            | MIT License                                                                         | Samuel Colvin <s@muelcolvin.com>, Adrian Garcia Badaracco <1755071+adriangb@users.noreply.github.com>, Zac Hatfield-Dodds <zac@zhd.dev>                                                                                                                                                                                                                                                                                                                             |
| anyio                    | 4.3.0            | MIT License                                                                         | Alex Grönholm <alex.gronholm@nextday.fi>                                                                                                                                                                                                                                                                                                                                                                                                                            |
| appdirs                  | 1.4.4            | MIT License                                                                         | Trent Mick                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| apturl                   | 0.5.2            | UNKNOWN                                                                             | UNKNOWN                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| asgiref                  | 3.5.0            | BSD License                                                                         | Django Software Foundation                                                                                                                                                                                                                                                                                                                                                                                                                                          |
